"","country","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","rank_cut"
"1","Canada",517.32712465652,497.688456794279,541.116958008255,471.206568015189,462.62850018875,552.199555564732,527.877815490283,658.231250296668,683.79064250442,779.185021652334,757.40233287379,"-",120.456878339214,30
"2","USA",3537.65614793247,3921.60876615107,4070.78359048478,3743.88980515494,3831.46706531441,4197.02182071001,4398.06126016557,4382.0056323371,4439.08108959546,4943.23707937166,4804.82551313397,"-",502.195778812152,12
"3","Austria",760.05116544763,704.09194896071,623.601982406429,620.301163496839,713.530675790666,629.948790768658,665.950666422751,908.88926404098,700.36302384386,695.222399504232,730.039311689919,"-",87.9782968875417,35
"4","Belgium",1541.3267988672,1659.82510141872,1797.77216202717,2074.03400135013,2012.82355810567,2188.91358329743,2047.15723798718,1896.89246431328,2062.53162864062,2086.60426156012,2099.73313899536,"-",199.208676926904,21
"5","Bulgaria",268.454026046973,254.047249681653,324.607871559613,336.795450278515,325.139386240492,378.4270514479,343.499634523338,477.498634649556,596.498885145181,690.975243975676,718.205993227199,"-",215.020062129807,20
"6","Czech Republic",469.199884567276,423.461100085955,452.585795604682,413.671567101681,422.041725101836,378.256606866485,511.645713756986,599.987555118419,687.084772088873,625.390577420886,777.15912228938,"-",100.142625045165,33
"7","Cyprus",1054.7869978333,997.246418809473,1080.30161122611,938.269904038147,772.724418588013,705.027736436553,743.656697738048,928.048796001802,1018.88126002453,877.820186806855,1047.33671174171,"-",247.850543945189,18
"8","Denmark",348.638510449864,306.739999230744,388.090381197455,407.56855623492,416.648541073749,454.957017156242,551.581529655573,641.399847143826,566.683570955676,561.864448471556,518.657113966112,"-",107.962543316165,32
"9","Finland",172.247074955318,125.004452356501,164.793947219057,146.97252935251,210.428794961003,238.134513885734,229.884713471335,230.355121723339,207.48190320232,316.216279691748,221.74592640325,"-",129.115706933029,28
"10","France",10509.9607954787,10534.2109016936,10616.0065340614,10415.2354604995,10491.5075971185,10645.7634180648,10521.5570895979,10033.2815521843,10642.0111408323,10851.7683438882,10346.7081008411,"-",1593.26100962494,2
"11","Germany",2334.04189359405,2505.85973449514,2730.04744931398,2789.78649885767,2928.18718956521,2905.37278678853,3160.20302044858,3246.77506864852,3578.88074816739,3625.16761148536,3374.99471455928,"-",520.207249229228,11
"12","Greece",1984.75214876605,1845.16322293363,2192.13793775424,2052.75413445156,2029.96505175357,2217.82705697796,2598.77908103345,2723.76951797797,2707.73743526648,2908.25263125018,3438.20001491441,"-",1147.98933560769,4
"13","Hungary",245.879445811662,306.231360436249,331.040976665066,350.028797181028,390.204944578349,438.58582238604,582.31654335946,722.760627725234,772.442826594973,733.588549549045,918.709983443773,"-",169.088846018815,23
"14","Republic of Ireland",4050.76426542751,3827.26011315783,4273.20398210415,3715.75998634391,3770.51905620283,4063.61277194891,4504.50345282355,4677.12055679222,4576.08249128114,4695.28485543712,4786.16399174229,"-",1050.7636649295,5
"15","Italy",2823.5087326044,2625.14631224343,2773.15615539406,3074.26366065571,3301.14676505742,3511.09833131077,4123.87844618846,4629.97558943723,4900.83290942945,5293.69073516127,5105.09356135528,"-",855.518312174284,7
